PREF IBKR,PREF YF,CMON,FF-FR_,BOND_,CRDT SCORE_,EX-DIV DATE,CALL DATE,MATUR DATE,DIV AMOUNT,COUPON,Aug2022_Price,Oct19_Price,CMON OUTS SHARES,CMON SECTOR,LAST PRICE,TIME TO DIV,DIV ADJ.PRICE,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Last Price,Oct19_diff,Aug2022_diff,SMA88,SMA268,SMA88 chg,SMA268 chg,6M Low,6M High,1Y Low,1Y High,Div adj.price,6M_Low_diff,6M_High_diff,SMA88_chg_norm,SMA268_chg_norm,6M_Low_diff_norm,6M_High_diff_norm,1Y_High_diff,1Y_Low_diff,1Y_High_diff_norm,1Y_Low_diff_norm,ADV_6M,ADV_3M,ADV_15D,AVG_ADV,SOLIDITY_SCORE,Normalized_COM_6M,Normalized_COM_3M,Normalized_52W_LOW,FINAL_THG,CS_FACTOR,Group
ABLLL,ABLLL,ABL,,BB,8.0,05/13/2025,2/15/2027,11/15/2028,0.62,9.88%,,,95.62,Insurance,,44.0,,,,,,24.79,,,25.5,26.19,-2.79,-5.35,20.52,38.5,20.52,38.5,24.47,3.95,-14.03,60.2,65.56,39.15,,-14.03,3.95,,64.14,11349.0,12656.0,13749.0,12585.0,35.76,,,,58.24,1.0,1.0
ABR PRD,ABR-D,ABR,,,8.0,06/17/2025,6/2/2026,NONE,0.4,6.38%,21.35,16.6,192.08,Reit,,79.0,,,,,,17.61,1.01,-3.74,17.53,18.27,0.48,-3.64,16.75,19.98,15.9,19.98,17.56,0.81,-2.42,48.74,59.28,78.09,34.86,-2.42,1.66,34.01,79.13,14645.0,14263.0,9123.0,12677.0,39.73,,,,51.95,1.0,2.0
ABR PRE,ABR-E,ABR,,,8.0,06/17/2025,8/11/2026,NONE,0.39,6.25%,21.35,16.6,192.08,Reit,,79.0,,,,,,17.25,0.65,-4.1,17.14,18.08,0.63,-4.57,16.3,20.6,16.0,20.94,17.2,0.9,-3.4,48.21,62.7,76.98,45.09,-3.74,1.2,47.33,82.14,7809.0,9423.0,4678.0,7303.0,39.73,,,,52.77,1.0,2.0
ABR PRF,ABR-F,ABR,NFF,,8.0,07/11/2025,10/30/2026,NONE,0.39,6.25%,,,192.08,Reit,,13.0,,,,,,20.4,,,21.12,20.61,-3.41,-1.04,19.19,23.3,17.15,23.3,20.07,0.88,-3.23,62.38,49.72,77.22,43.32,-3.23,2.92,42.18,70.88,19810.0,15554.0,11504.0,15623.0,39.73,,,,53.76,1.0,2.0
ACR PRC,ACR-C,ACR,FF,,8.0,07/01/2025,7/30/2024,NONE,0.64,8.63%,,,7.39,Reit,,3.0,,,,,,25.32,,,24.85,24.89,1.87,1.74,22.61,25.53,20.85,25.53,24.7,2.09,-0.83,43.87,39.51,62.22,18.25,-0.83,3.85,17.97,64.8,7698.0,6054.0,4256.0,6003.0,44.29,,,,42.59,1.0,2.0
ACR PRD,ACR-D,ACR,,,8.0,07/01/2025,5/21/2026,NONE,0.49,7.88%,20.5,18.57,7.39,Reit,,3.0,,,,,,22.45,3.88,1.95,21.31,22.18,5.36,1.22,18.12,23.48,17.69,24.49,21.98,3.86,-1.5,31.63,41.42,40.26,25.25,-2.51,4.29,34.92,61.91,6399.0,8442.0,6008.0,6950.0,44.29,,,,38.51,1.0,2.0
AGNCL,AGNCL,AGNC,FF,,8.0,07/01/2025,10/15/2027,NONE,0.48,7.75%,,,1020.48,Reit,,3.0,,,,,,25.16,,,24.97,24.71,0.74,1.8,22.84,26.59,19.78,26.59,24.7,1.86,-1.89,47.83,39.29,65.07,29.32,-1.89,4.92,28.66,57.79,14240.0,12842.0,12191.0,13091.0,50.39,,,,45.74,1.0,5.0
AGNCM,AGNCM,AGNC,FF,,8.0,07/01/2025,4/15/2024,NONE,0.56,6.88%,,,1020.48,Reit,,3.0,,,,,,25.34,,,24.81,25.07,2.15,1.09,23.01,25.6,20.47,25.85,24.8,1.79,-0.8,42.88,41.9,65.94,17.94,-1.05,4.33,20.19,61.65,14303.0,15915.0,12162.0,14127.0,50.39,,,,44.87,1.0,2.0
AGNCN,AGNCN,AGNC,FF,,8.0,07/01/2025,10/15/2022,NONE,0.61,7.00%,,,1020.48,Reit,,3.0,,,,,,25.83,,,25.64,25.7,0.73,0.5,23.63,26.59,23.63,26.59,25.24,1.61,-1.35,47.86,44.07,68.17,23.68,-1.35,1.61,23.22,79.46,22150.0,22761.0,14768.0,19893.0,50.39,,,,48.09,1.0,9.0
AGNCO,AGNCO,AGNC,FF,,8.0,07/01/2025,10/15/2024,NONE,0.6,6.50%,,,1020.48,Reit,,3.0,,,,,,25.71,,,25.35,25.22,1.42,1.92,23.68,25.95,20.85,25.95,25.13,1.45,-0.82,45.44,38.85,70.16,18.15,-0.82,4.28,17.87,61.98,32088.0,29412.0,19310.0,26937.0,50.39,,,,45.48,1.0,2.0
